market,campaign,ad_type,state,spend,sales,orders
US,[US]_B0F45C2YHV_TIRE_SP_EX_cerakote tire coating,SP,enabled,2.66,82.8,4.0
US,[US]_B084RQKLV8_HL_SP_EX_headlamp cleaning kit,SP,enabled,2.64,17.95,1.0
US,[US]_B0DJMW6283_MFTOWELS_SP_PT_B0DKVZRX69_INTERIOR,SP,enabled,2.64,0.0,0.0
US,[US]_B084RQKLV8_HL_SP_EX_auto headlight cleaner,SP,enabled,2.62,0.0,0.0
US,[US]_B084RQKLV8_HL_SP_EX_cerakote headlight kit,SP,enabled,2.55,17.95,1.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_jeep tire shine,SP,enabled,2.49,0.0,0.0
US,[US]_B0B94G13CN_RCPAINT_SP_EX_cerakote ceramic paint sealant,SP,enabled,2.43,19.69,1.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_trim coat restoration kit,SP,enabled,2.38,16.88,1.0
US,[US]_B0FYRJ1966_PLASTICRESTORE_SP_EX_plastic car restorer,SP,enabled,2.34,0.0,0.0
US,[US]_B0FYRJ1966_PLASTICRESTORE_SP_EX_plastic black restorer,SP,enabled,2.21,0.0,0.0
US,[US]_B0FYRJ1966_PLASTICRESTORE_SP_EX_black car trim restorer,SP,enabled,2.13,0.0,0.0
US,[US]_B0F23KPC5G_ALLIN_SP_EX_BRAND,SP,enabled,2.11,15.95,1.0
US,[US]_B0DKVZRX69_INTERIOR_SP_EX_interior ceramic coating,SP,enabled,2.0,0.0,0.0
US,[US]_B084RQKLV8_HL_SP_EX_lens cleaner for car headlights,SP,enabled,2.0,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_BRAND_CERAKOTE_KIT_FOR_CARS,SP,enabled,1.93,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_cerakote tire,SP,enabled,1.91,19.69,1.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_cerakote trim wipes,SP,enabled,1.8,91.83,2.0
US,[US]_B0FYRJ1966_PLASTICRESTORE_SP_EX_vehicle trim restorer,SP,enabled,1.75,0.0,0.0
US,[US]_B0H51RDY69_PROAIRCRAFT_SP_EX_KWMIX,SP,enabled,1.75,0.0,0.0
